id_pendidikan,id_kelurahan,paud_lk,tk_lk,sd_lk,smp_lk,sma_lk,d1_d2_lk,d3_lk,s1_lk,s2_lk,s3_lk,paud_pr,tk_pr,sd_pr,smp_pr,sma_pr,d1_d2_pr,d3_pr,s1_pr,s2_pr,s3_pr,update
172,18,1152,1171,541,537,989,1355,957,1005,2208,1965,22,18,55,57,454,417,19,19,3,1,2017-12-30
173,19,4471,4165,1667,1504,1978,2919,2538,2912,8115,7626,216,234,259,360,2907,2926,195,117,6,3,2017-12-30
174,20,1354,1261,619,521,689,1024,865,1006,2949,2991,102,110,141,191,1260,1181,80,66,5,2,2017-12-30
175,21,2375,2216,1257,1173,1259,1895,1769,2050,5804,5318,159,171,212,268,1445,1406,94,70,4,2,2017-12-30
176,22,1648,1526,864,855,1362,1821,1382,1497,3578,3182,43,34,127,121,486,486,36,19,2,2,2017-12-30
177,23,1234,1206,715,588,816,1298,1064,1246,3401,3269,42,66,145,148,1193,1221,100,46,7,1,2017-12-30
178,24,1838,1754,1228,1086,1062,1599,1579,1863,5538,5008,110,133,220,225,890,876,45,34,7,1,2017-12-30
179,25,1087,1062,721,658,739,1121,1132,1171,3415,3202,45,64,135,150,949,868,63,48,4,2,2017-12-30
180,26,2228,2055,1282,1170,1523,2158,2017,2194,5788,5401,76,66,123,132,1054,996,41,40,2,1,2017-12-30
181,27,4378,4048,1037,997,2050,2809,2451,2865,6792,6665,100,116,254,306,1966,1874,170,125,4,4,2017-12-30
182,28,2622,2363,366,356,1338,1690,1368,1535,3427,3274,42,54,92,111,944,898,70,55,2,1,2017-12-30
183,29,5775,5542,891,821,3472,4607,2864,3074,6577,5606,80,61,165,209,1112,1081,70,50,2,0,2017-12-30
184,30,6900,6609,1104,1138,4685,6030,3296,3416,6570,5572,50,57,148,185,998,886,69,56,4,0,2017-12-30
185,31,3140,3003,650,661,1803,2411,1649,1945,4333,3919,47,33,123,153,784,829,40,42,4,0,2017-12-30
186,32,4729,4400,957,880,2383,3357,2357,2558,6235,5902,70,102,257,292,2187,1974,134,97,5,1,2017-12-30
187,33,1173,1120,536,566,1030,1346,944,1006,2305,1938,44,31,64,85,505,521,32,19,5,1,2017-12-30
188,34,614,628,329,335,395,563,578,727,1695,1598,18,17,47,48,429,461,16,13,2,0,2017-12-30
189,35,1515,1441,764,774,1581,1977,1335,1351,2727,2453,45,53,56,81,631,646,24,12,1,0,2017-12-30
190,36,567,510,286,269,305,473,442,514,1293,1315,16,36,34,40,731,702,59,28,1,0,2017-12-30
191,37,1275,1260,570,549,954,1199,982,1128,2601,2519,46,58,82,107,904,813,33,28,5,2,2017-12-30
192,38,1214,1182,649,599,667,968,909,1068,2986,2768,41,54,111,152,892,857,58,45,3,1,2017-12-30
193,39,4306,4027,2043,1906,2160,3143,2855,3155,8196,7799,109,134,455,612,3073,2994,254,160,15,3,2017-12-30
194,40,1654,1529,884,836,667,1154,1083,1303,3782,3783,69,68,246,310,1789,1750,142,88,17,12,2017-12-30
195,41,2181,2117,1236,1145,1153,1804,1501,1680,4533,4297,59,72,255,305,2033,1935,129,100,10,11,2017-12-30
196,42,1336,1222,763,721,564,821,837,985,2609,2766,53,55,183,244,1782,1784,111,73,10,0,2017-12-30
197,43,1118,1089,634,567,575,903,774,937,2545,2514,35,43,119,164,1431,1460,120,59,13,4,2017-12-30
198,44,1960,1851,548,540,1158,1363,922,911,1860,1814,80,86,106,155,1371,1427,356,235,114,38,2017-12-30
199,45,834,821,254,267,679,757,424,391,868,917,42,37,50,57,515,501,52,38,3,0,2017-12-30
200,46,2128,1997,423,401,1157,1376,1026,1084,2380,2435,123,132,81,104,1313,1279,137,108,11,6,2017-12-30
201,47,1623,1547,486,485,997,1256,890,995,2181,2261,74,78,154,197,1571,1533,153,111,20,6,2017-12-30
202,48,1853,1737,489,453,1027,1279,911,1005,2216,2059,71,91,69,125,1161,1106,72,67,9,3,2017-12-30
203,49,2151,1973,500,447,932,1107,860,901,2324,2528,147,179,148,205,2436,2271,248,192,28,18,2017-12-30
204,50,2313,2117,569,523,1492,1813,1152,1269,2591,2346,127,117,106,99,1148,1139,115,94,8,3,2017-12-30
205,51,2761,2587,387,403,1463,1957,1404,1473,3477,3272,54,63,89,104,657,654,50,32,1,2,2017-12-30
206,52,4859,4257,788,717,2215,2959,2290,2473,5434,5227,137,132,238,254,1758,1754,105,77,9,1,2017-12-30
207,53,3849,3558,737,731,2121,2740,2145,2230,4739,4350,121,126,133,164,1225,1336,76,51,1,2,2017-12-30
208,54,5925,5456,732,705,2587,3351,2543,2812,6231,5854,214,223,206,311,1827,1739,178,144,7,9,2017-12-30
209,55,2403,2279,357,379,1483,1883,1261,1306,2761,2609,43,53,73,109,660,687,45,20,0,0,2017-12-30
210,56,2962,2900,389,364,1496,2068,1467,1786,3904,3757,111,109,147,189,1000,1008,94,79,5,6,2017-12-30
211,57,6511,6008,658,653,4935,5788,3008,2949,4760,3968,80,91,84,127,664,722,53,31,3,1,2017-12-30
212,58,2910,2721,579,586,1618,1958,1499,1600,3297,2975,70,64,85,157,678,649,31,24,1,1,2017-12-30
213,59,2219,2066,1026,884,1635,2303,1776,1917,3837,3518,27,38,100,129,765,745,52,36,3,1,2017-12-30
214,60,1593,1637,698,608,1543,1897,1246,1331,2683,2368,24,25,43,59,455,475,21,10,3,0,2017-12-30
215,61,1916,1926,732,673,2448,3036,1380,1364,2088,1660,17,14,10,22,383,334,20,7,0,0,2017-12-30
216,62,2918,3141,1191,1058,3844,4190,1438,1432,2157,1646,14,22,38,36,318,312,30,11,0,0,2017-12-30
217,63,2078,2042,880,815,1784,2373,1701,1648,3297,2740,28,39,69,101,591,562,35,23,0,1,2017-12-30
218,64,1050,918,385,384,1099,1462,873,871,1628,1537,17,17,38,66,453,430,22,18,0,0,2017-12-30
219,65,867,859,247,250,974,1156,710,837,1344,1291,21,19,36,31,364,273,14,6,0,0,2017-12-30
220,66,1941,1865,453,431,1850,2509,1418,1522,3121,2533,33,24,80,77,538,506,22,20,0,0,2017-12-30
221,67,1662,1488,390,361,2146,2797,1189,1068,2146,1703,33,28,39,47,407,310,25,7,2,0,2017-12-30
222,68,2922,2820,769,660,3400,4291,1924,1897,4383,3617,97,87,225,190,1139,1027,93,51,3,0,2017-12-30
223,69,555,499,285,259,424,599,495,600,1292,1197,17,14,52,75,309,368,20,8,4,0,2017-12-30
224,70,1273,1144,654,632,1144,1550,977,1089,2583,2342,30,37,112,120,562,544,30,24,3,1,2017-12-30
225,71,2840,2693,1256,1181,2316,3175,2225,2356,5405,4513,66,62,134,149,778,731,54,30,3,1,2017-12-30
226,72,2507,2466,1230,1162,2621,3298,2038,2085,4189,3574,48,52,127,154,841,778,36,26,1,0,2017-12-30
227,73,2485,2322,1208,1124,1792,2427,1764,1965,4977,4624,46,61,169,231,1067,1034,77,54,1,3,2017-12-30
