,NAMA_KEC,NAMA_KEL,PNS,DOSEN,GURU,GURU/DOSEN,TANI,POLRI,BURUH_HARIAN_LEPAS,BURUH_TANI_PERKEBUNAN,BURUH_NELAYAN_PERIKANAN,BURUH_PETERNAKAN,BURUH,PEDAGANG,PEDAGANG,PEDAGANG,TNI,MAHASISWA,NELAYAN,SWASTA,PELAJAR,BELUM KERJA,PENSIUN,ANGGOTA_DPR_RI,ANGGOTA_DPD,ANGGOTA_BPK,PRESIDEN,WAKIL_PRESIDEN,ANGGOTA_MAHKAMAH_KONSTITUSI,ANGGOTA_KABINET_KEMENTERIAN,DUTA_BESAR,GUBERNUR,WAKIL_GUBERNUR,BUPATI,WAKIL_BUPATI,WALIKOTA,WAKIL_WALIKOTA,ANGGOTA_DPRD_PROVINSI,ANGGOTA_DPRD_KABUPATEN_KOTA,PTN,IRT,WIRASWASTA,TUKANG_CUKUR,TUKANG_LISTRIK,TUKANG_BATU,TUKANG_KAYU,TUKANG_SOL_SEPATU,TUKANG_LAS_PANDAI_BESI,TUKANG_JAHIT,TUKANG_GIGI,TUKANG,LAIN2NYA,DOKTER,FAKIR
,,TAMBAKREJO,216,11,124,135,7,18,10,0,0,1,11,19,87,106,41,834,0,6131,3337,5284,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4255,1024,0,3,3,0,0,0,2,0,8,25,13,0
12,PABEAN CANTIAN,BONGKARAN,47,4,44,48,2,2,39,1,0,1,41,12,150,162,8,490,1,3105,1958,2718,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2310,706,0,1,1,0,0,1,3,0,6,114,5,0
,,NYAMPLUNGAN,28,4,51,55,3,2,31,0,0,0,31,9,125,134,4,384,0,2143,1535,2546,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,680,0,0,0,0,0,0,3,0,3,64,14,0
,,KREMBANGAN UTARA,141,4,99,103,11,12,144,2,0,0,146,12,176,188,32,762,1,5208,3049,4931,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3753,1116,0,1,1,0,1,0,2,0,5,122,5,0
,,PERAK TIMUR,91,4,77,81,8,9,71,1,0,0,72,9,103,112,33,667,0,4237,2669,4020,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3461,856,0,0,0,0,0,1,1,0,2,102,27,0
,,PERAK UTARA,476,22,147,169,19,42,146,2,0,0,148,19,153,172,205,1284,4,7582,5134,7178,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6281,1592,0,0,3,0,0,0,0,0,3,116,37,0
13,BUBUTAN,ALON ALON CONTONG,52,10,37,47,2,5,8,0,0,0,8,5,65,70,8,349,0,1982,1395,1443,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1428,558,0,0,1,1,0,0,3,0,5,4,22,0
,,BUBUTAN,150,14,73,87,10,149,24,0,0,0,24,16,109,125,30,748,0,4516,2992,2982,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2953,612,0,0,3,1,0,0,2,0,6,13,41,0
,,GUNDIH,350,28,172,200,10,39,56,2,0,0,58,38,130,168,99,1432,0,8816,5728,6506,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6168,1364,2,1,8,9,0,0,8,0,28,7,13,0
,,JEPARA,309,10,163,173,9,49,86,1,0,0,87,24,168,192,82,1333,2,7777,5333,5676,184,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5855,1353,0,0,6,0,0,0,6,0,12,5,25,0
,,TEMBOK DUKUH,443,38,223,261,5,52,17,0,1,0,18,23,85,108,63,1306,1,8427,5222,6080,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5331,1026,0,3,5,0,0,1,5,0,14,5,34,0
14,TANDES,TANDES,94,7,80,87,11,28,8,2,0,0,10,1,18,19,16,439,1,3052,1756,2016,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1816,562,0,0,1,0,0,0,0,0,1,26,27,0
,,KARANGPOH,157,7,95,102,20,17,14,1,0,0,15,9,27,36,24,615,0,4889,2458,3766,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2808,680,0,1,1,0,0,0,1,0,3,35,13,0
,,BALONGSARI,223,11,98,109,8,17,17,3,0,0,20,4,15,19,33,431,0,3074,1724,2557,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1782,371,0,0,2,0,0,0,2,0,4,9,4,0
,,MANUKAN KULON,1125,47,552,599,23,67,48,1,1,1,51,15,59,74,174,1729,0,11607,6914,8869,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6324,1762,0,0,4,1,0,0,0,0,5,70,42,0
,,MANUKAN WETAN,109,8,89,97,14,16,33,1,0,0,34,9,44,53,28,419,0,2966,1674,2254,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1573,451,0,1,1,0,0,0,0,0,2,17,4,0
,,BANJAR SUGIHAN,238,8,151,159,7,12,6,0,0,0,6,2,15,17,35,465,1,3486,1861,2777,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,522,0,0,1,1,0,0,0,0,2,19,7,0
15,KREMBANGAN,KREMBANGAN SELATAN,156,9,86,95,5,42,13,1,0,1,15,5,11,16,61,488,0,3812,1952,5029,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2906,955,0,0,0,0,0,0,0,0,0,12,24,0
,,KEMAYORAN,212,15,120,135,11,24,7,1,0,0,8,4,11,15,60,676,0,5075,2702,6213,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3958,776,0,0,0,0,0,0,1,0,1,11,8,0
,,PERAK BARAT,444,20,123,143,2,107,15,1,0,0,16,2,5,7,300,722,0,4471,2889,4517,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3044,655,0,0,0,0,0,0,0,0,0,6,49,0
,,DUPAK,246,11,149,160,14,30,32,0,0,0,32,15,19,34,102,825,0,7023,3299,7685,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4871,1334,0,2,5,1,0,0,0,0,8,5,5,0
,,MOROKREMBANGAN,262,7,170,177,57,229,43,2,4,0,49,15,20,35,188,1618,24,11673,6470,15110,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9811,2553,0,0,1,0,0,0,2,0,3,28,12,0
16,SEMAMPIR,AMPEL,90,9,168,177,13,1,17,0,0,0,17,7,62,69,13,919,0,5802,3674,4888,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4832,1313,0,0,1,0,0,0,0,0,1,3,27,0
,,PEGIRIAN,201,10,162,172,43,27,57,2,1,0,60,8,48,56,110,1501,0,8176,6004,8296,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7458,2910,1,0,2,0,0,0,1,0,4,5,7,0
,,WONOKUSUMO,389,38,361,399,65,65,232,4,2,1,239,19,107,126,370,3218,0,17982,12870,18629,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16410,5318,0,0,3,0,0,0,4,0,7,15,17,0
,,UJUNG,182,5,91,96,64,15,591,1,0,0,592,7,50,57,842,1544,0,6736,6177,9802,299,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7910,2961,0,0,1,1,0,0,0,0,2,11,13,0
,,SIDOTOPO,168,8,181,189,22,35,33,1,0,0,34,7,46,53,60,1524,1,9914,6095,8602,167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7685,1744,0,0,1,1,0,0,7,0,9,19,12,0
17,KENJERAN,TANAH KALI KEDINDING,553,34,354,388,20,89,50,0,0,0,50,20,68,88,182,2520,5,17306,10078,13973,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11511,1956,1,0,8,1,0,2,1,0,13,14,20,0
,,SIDOTOPO WETAN,446,25,526,551,27,86,47,3,0,0,50,15,87,102,248,2674,1,16650,10694,15367,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12454,3198,0,1,2,0,0,1,2,0,6,13,16,0
,,BULAK BANTENG,203,2,190,192,18,18,29,2,2,0,33,20,40,60,751,1653,24,7864,6611,8336,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7086,2062,0,1,5,0,0,3,1,0,10,4,3,0
,,TAMBAK WEDI,169,5,95,100,15,11,65,4,6,1,76,9,35,44,56,795,148,3836,3178,4008,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3116,1180,1,1,10,2,0,4,2,0,20,1,2,0
