id_agama,id_kelurahan,islam_lk,kristen_lk,katholik_lk,budha_lk,hindu_lk,konghucu_lk,islam_pr,kristen_pr,katholik_pr,budha_pr,hindu_pr,konghucu_pr,update,1
198,44,7244,7141,732,764,366,385,83,90,54,46,2,1,2017-12-30,
199,45,2977,3000,419,433,206,237,119,110,21,21,1,1,2017-12-30,
200,46,6716,6677,1031,1176,842,895,165,152,45,39,3,4,2017-12-30,
201,47,5904,5946,1169,1335,886,996,174,180,30,21,1,1,2017-12-30,
202,48,6693,6680,660,694,386,401,100,110,56,54,4,4,2017-12-30,
203,49,7349,7291,1321,1408,823,867,171,154,115,107,2,1,2017-12-30,
204,50,8237,8062,858,937,378,402,88,81,65,43,1,1,2017-12-30,
205,51,8533,8498,1191,1327,503,597,116,127,17,11,3,5,2017-12-30,
206,52,13107,12891,2923,3080,1049,1152,745,720,33,34,9,5,2017-12-30,
207,53,10747,10629,2748,2879,749,856,864,871,52,63,9,10,2017-12-30,
208,54,18045,17961,1628,1772,548,652,183,180,54,54,4,3,2017-12-30,
209,55,7438,7524,1046,1155,320,390,270,254,19,11,8,6,2017-12-30,
210,56,10389,10951,784,871,340,382,53,55,24,24,3,5,2017-12-30,
211,57,19245,18841,1132,1169,250,242,94,69,48,35,9,5,2017-12-30,
212,58,9067,8985,1166,1216,294,315,220,202,36,34,1,1,2017-12-30,
213,59,8869,8735,1553,1759,438,518,586,630,12,17,3,4,2017-12-30,
214,60,6032,5887,1346,1522,334,409,566,563,4,8,35,28,2017-12-30,
215,61,7685,7680,722,751,156,182,430,416,2,7,5,6,2017-12-30,
216,62,11529,11347,243,276,52,82,138,162,2,3,3,1,2017-12-30,
217,63,8816,8562,1065,1165,328,350,256,263,8,8,2,5,2017-12-30,
218,64,3705,3681,1020,1111,275,303,566,603,13,10,4,8,2017-12-30,
219,65,3885,4011,295,310,89,112,305,286,2,1,6,8,2017-12-30,
220,66,8272,8236,714,746,215,251,252,257,9,8,5,3,2017-12-30,
221,67,7682,7434,243,259,56,72,57,45,9,6,1,1,2017-12-30,
222,68,13827,13518,825,835,219,229,44,36,50,34,1,1,2017-12-30,
223,69,1836,1841,807,921,287,325,505,520,11,12,13,6,2017-12-30,
224,70,6166,6116,692,798,249,329,221,222,37,20,9,7,2017-12-30,
225,71,14185,14031,589,570,213,192,89,103,9,5,1,1,2017-12-30,
226,72,12938,12872,459,482,152,141,87,99,9,10,2,2,2017-12-30,
227,73,12070,12164,1043,1164,396,432,66,79,21,13,1,1,2017-12-30,
228,74,3156,3200,818,863,484,489,282,299,10,10,1,1,2017-12-30,
229,75,6702,6511,567,651,247,255,107,99,4,3,4,2,2017-12-30,
230,76,4605,4671,318,323,74,88,23,18,4,7,1,1,2017-12-30,
231,77,16399,16840,1971,2100,641,662,70,68,44,53,1,1,2017-12-30,
232,78,4540,4418,144,159,40,44,11,12,1,1,1,1,2017-12-30,
233,79,5375,5242,306,347,66,89,3,6,10,6,1,1,2017-12-30,
234,80,5469,5399,1098,1202,567,624,385,411,19,14,1,1,2017-12-30,
235,81,8705,8751,542,617,240,250,103,105,16,13,1,1,2017-12-30,
236,82,6413,6544,1526,1528,386,414,62,68,86,84,1,1,2017-12-30,
237,83,12107,11924,369,421,72,69,21,20,20,16,1,1,2017-12-30,
238,84,22760,22376,613,650,140,155,31,28,66,66,1,1,2017-12-30,
239,85,10317,10545,34,28,14,9,34,40,1,1,4,5,2017-12-30,
240,86,16670,16365,310,300,74,69,22,22,12,14,1,1,2017-12-30,
241,87,36369,35546,611,566,167,179,22,24,26,27,1,1,2017-12-30,
242,88,17574,17336,329,312,87,85,7,7,51,54,1,1,2017-12-30,
243,89,17027,16758,379,437,108,113,21,17,25,20,2,2,2017-12-30,
244,90,27131,26550,991,1085,262,282,101,111,47,50,6,4,2017-12-30,
245,91,28813,28375,1188,1127,300,335,70,70,57,54,2,2,2017-12-30,
246,92,16676,16000,244,246,82,80,4,1,80,70,1,1,2017-12-30,
247,93,7890,7816,135,118,48,38,3,3,6,6,1,1,2017-12-30,
248,94,4035,4032,239,275,78,85,8,6,8,7,1,1,2017-12-30,
